HOUSEHOLD_ID,MEMBER_ID,LINE_NUMBER,A01_LAST_NAME,A01_FIRST_NAME,A01_SUFFIX,A01_MIDDLE_NAME,A02_RELATION_TO_HH_HEAD,A05_SEX,A07_AGE,A09_MARITAL_STATUS,A17_SOLO_PARENT,A18_SOLO_PARENT_ID,A19_SENIOR_CITIZEN_ID,A20_A_SEEING,A20_B_HEARING,A20_C_WALKING,A20_D_REMEMBERING,A20_E_SELF_CARING,A20_F_COMMUNICATING,B06_OFI,C01_SIMPLE_LITERACY,C02_HGC_LEVEL,C03_CURRENTLY_ATTENDING_SCHOOL,C05_CURRENT_GRADE_LEVEL,C06_REASON_NOT_ATTENDING_SCHOOL,C07_TVET_GRADUATE,C08_TVET_CURRENTLY_ATTENDING,E01_WORK_PAST_WEEK,E03_JOB_OR_BUSINESS_PAST_WEEK,E11_NATURE_OF_EMPLOYMENT,E12_NUMBER_OF_HOURS_WORKED,E13_NUMBER_OF_DAYS_WORKED,E14_TOTAL_NUMBER_OF_HOURS_WORKED,E15_WANT_MORE_HOURS,E16_LOOKING_FOR_ADDITIONAL_WORK,E18_CLASS_OF_WORKER,E19_BASIS_OF_PAYMENT,E24_REASON_MORE_OR_LESS_HOURS,E25_TRY_LOOK_FOR_WORK_OR_DO_BUSINESS,E29_REASON_NOT_LOOKING_FOR_WORK,E31_AVAILABLE_FOR_WORK,E32_WILLING_TO_WORK,E39_OWNERSHIP_OF_AGRI_LAND,E40_LAND_USED_IN_AGRI_ACTIVITY
HH000014,HH000014-M06,06,Ramos,Karen,,Valdez,04,2,4,1,,,,,,,,,,,,,2,,06,,,,,,,,,,,,,,,,,,,
HH000015,HH000015-M01,01,Abad,Jose,,Garcia,01,1,43,2,2,,,1,1,2,1,1,1,7,1,6,,,,2,2,1,,1,5,4,20,1,2,1,4,29,,,,,2,
HH000015,HH000015-M02,02,Abad,Andrea,,Navarro,02,2,45,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,1,,1,10,7,68,2,2,1,7,99,,,,,2,
HH000015,HH000015-M03,03,Abad,Rose,,Aguilar,04,2,15,1,2,,,1,1,1,1,1,1,7,1,1,1,00024014,,2,2,2,2,,,,,,,,,,2,99,,,1,1
HH000015,HH000015-M04,04,Abad,Kristine,,Rivera,04,2,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000015,HH000015-M05,05,Abad,Camille,,Soriano,23,2,57,6,2,,,2,1,1,1,1,1,7,1,1,,,,2,2,1,,3,8,7,56,2,2,1,4,14,,,,,2,
HH000015,HH000015-M06,06,Abad,Mae,,Aguilar,12,2,61,4,2,,1,1,1,1,1,1,2,7,1,6,,,,2,2,1,,2,6,6,36,1,1,1,1,29,,,,,2,
HH000016,HH000016-M01,01,Abad,Juan,,Flores,01,1,35,5,1,1,,1,1,2,1,1,1,1,1,6,,,,2,2,,,,,,,,,,,,,,,,,
HH000016,HH000016-M02,02,Abad,Liza,,Ramos,04,2,18,1,2,,,1,1,1,1,1,1,7,1,3,2,,09,2,2,1,,3,10,6,58,2,2,1,4,11,,,,,2,
HH000016,HH000016-M03,03,Abad,Nathan,,Cruz,03,1,17,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,2,2,,,,,,,,,,2,09,,,2,
HH000016,HH000016-M04,04,Abad,Joshua,Jr.,Garcia,03,1,14,1,2,,,1,1,1,1,1,1,,1,2,1,00024014,,,,2,2,,,,,,,,,,,,,,,
HH000016,HH000016-M05,05,Abad,Vincent,,Soriano,03,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000017,HH000017-M01,01,Aguilar,Rose,,Diaz,01,2,56,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,1,,2,2,2,
HH000017,HH000017-M02,02,Aguilar,Joshua,,Reyes,02,1,52,2,2,,,1,1,2,1,1,3,7,1,6,,,,2,2,2,3,,,,,,,,,,1,,1,1,1,2
HH000018,HH000018-M01,01,Cabrera,Miguel,,Rivera,01,1,55,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,1,2,12,0,0,2,2,1,6,12,,,,,2,
HH000018,HH000018-M02,02,Cabrera,Karen,,Castillo,02,2,52,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,1,9,5,45,1,2,1,1,,,,,,2,
HH000018,HH000018-M03,03,Cabrera,Miguel,Jr.,Navarro,03,1,19,1,2,,,1,1,1,1,1,1,7,1,6,1,00034012,,2,2,2,2,,,,,,,,,,2,09,,,1,1
HH000019,HH000019-M01,01,De Vera,Angelo,III,Rivera,01,1,44,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,2,1,1,9,0,0,2,2,3,,11,,,,,2,
HH000019,HH000019-M02,02,De Vera,Sophia,,Aquino,02,2,39,2,2,,,1,1,3,1,1,1,7,1,6,,,,2,2,1,,1,8,6,47,2,2,2,3,,,,,,2,
HH000020,HH000020-M01,01,Reyes,Rose,,Aguilar,01,2,37,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,1,,1,8,5,40,1,1,1,4,,,,,,2,
HH000020,HH000020-M02,02,Reyes,Paolo,,Rivera,02,1,39,2,2,,,1,1,2,1,2,2,7,1,6,,,,2,2,1,,2,6,7,42,1,2,5,4,,,,,,2,
HH000021,HH000021-M01,01,Fernandez,Marco,,Mendoza,01,1,27,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,8,5,40,2,2,6,,,,,,,2,
HH000022,HH000022-M01,01,Cabrera,Rommel,,Flores,01,1,34,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,3,8,2,18,2,2,1,4,30,,,,,2,
HH000022,HH000022-M02,02,Cabrera,Angela,,Fernandez,02,2,34,2,2,,,1,1,3,1,1,1,7,1,4,,,,1,2,2,2,,,,,,,,,,2,04,2,2,2,
HH000022,HH000022-M03,03,Cabrera,Joy,,Torres,04,2,17,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,2,2,,,,,,,,,,2,09,,,2,
HH000022,HH000022-M04,04,Cabrera,Mae,,Flores,04,2,15,1,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,2,2,2,2,,,,,,,,,,2,01,1,1,2,
HH000022,HH000022-M05,05,Cabrera,Ana,,Santos,04,2,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000022,HH000022-M06,06,Cabrera,Ana,,Aguilar,04,2,3,1,,,,,,,,,,,,,1,00002000,,,,,,,,,,,,,,,,,,,,
HH000022,HH000022-M07,07,Cabrera,Jerome,,Domingo,03,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000023,HH000023-M01,01,Soriano,Carlo,,Valdez,01,1,28,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,2,8,5,39,1,1,1,3,28,,,,,2,
HH000023,HH000023-M02,02,Soriano,Liza,,Rivera,02,2,33,2,2,,,1,1,2,1,1,1,7,1,4,,,,2,2,1,,3,10,4,40,2,2,1,1,,,,,,2,
HH000023,HH000023-M03,03,Soriano,Joy,,Torres,04,2,9,1,,,,1,1,1,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000023,HH000023-M04,04,Soriano,Daniel,Jr.,Cruz,03,1,9,1,,,,1,1,1,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000023,HH000023-M05,05,Soriano,Ana,,Bautista,04,2,8,1,,,,1,1,1,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000023,HH000023-M06,06,Soriano,Camille,,Rivera,04,2,6,1,,,,1,1,1,1,1,1,,2,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000023,HH000023-M07,07,Soriano,Luis,,Garcia,03,1,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000024,HH000024-M01,01,Flores,Rommel,Jr.,Diaz,01,1,33,2,2,,,3,1,1,1,1,3,7,1,6,,,,2,2,1,,3,8,6,50,2,2,3,,11,,,,,2,
HH000024,HH000024-M02,02,Flores,Karen,,Aguilar,02,2,27,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,12,4,46,2,2,6,,,,,,,2,
HH000024,HH000024-M03,03,Flores,Marco,,Castillo,03,1,16,1,2,,,1,1,1,1,1,1,7,1,2,1,00034011,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000024,HH000024-M04,04,Flores,Noel,,Rivera,03,1,15,1,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,2,2,2,2,,,,,,,,,,1,,1,1,1,1
HH000024,HH000024-M05,05,Flores,Ana,,Lopez,04,2,6,1,,,,1,1,1,1,1,1,,2,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000024,HH000024-M06,06,Flores,Miguel,,Soriano,03,1,6,1,,,,1,3,1,1,1,1,,1,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000025,HH000025-M01,01,Rosales,Jerome,Jr.,Rivera,01,1,45,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,1,8,6,50,2,2,0,4,11,,,,,1,1
HH000025,HH000025-M02,02,Rosales,Kristine,,Soriano,02,2,47,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,10,7,69,2,2,1,4,12,,,,,2,
HH000025,HH000025-M03,03,Rosales,Leah,,Diaz,04,2,24,6,2,,,1,2,1,1,1,1,7,1,6,1,00034012,,2,1,2,2,,,,,,,,,,2,99,,,2,
HH000025,HH000025-M04,04,Rosales,Joshua,Jr.,Flores,03,1,19,1,2,,,2,1,1,1,1,1,7,1,4,1,00034012,,2,2,1,,1,5,5,26,1,1,3,,24,,,,,2,
HH000025,HH000025-M05,05,Rosales,Catherine,,Santos,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000025,HH000025-M06,06,Rosales,Miguel,,Valdez,23,1,21,1,2,,,1,1,3,2,1,1,7,1,3,1,00034012,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000025,HH000025-M07,07,Rosales,Catherine,,Ramos,16,2,43,6,2,,,1,1,1,1,1,1,1,1,1,,,,2,2,,,,,,,,,,,,,,,,,
HH000026,HH000026-M01,01,Bernal,Leah,,Cruz,01,2,26,2,2,,,1,1,2,1,1,1,2,1,3,,,,2,2,,,,,,,,,,,,,,,,,
HH000026,HH000026-M02,02,Bernal,Angelo,,Santos,02,1,24,2,2,,,1,1,1,1,1,1,7,1,6,1,00034012,,2,2,1,,1,9,5,44,2,2,1,1,,,,,,1,1
HH000026,HH000026-M03,03,Bernal,Grace,,Aguilar,04,2,6,1,,,,1,2,1,1,1,1,,1,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000026,HH000026-M04,04,Bernal,Joan,,Garcia,04,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000026,HH000026-M05,05,Bernal,Paolo,Jr.,Flores,03,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000027,HH000027-M01,01,Cabrera,Liza,,Bautista,01,2,52,6,1,1,,2,1,3,1,1,2,7,1,5,,,,2,2,1,,2,4,2,8,1,2,4,,22,,,,,2,
HH000027,HH000027-M02,02,Cabrera,Ana,,Reyes,04,2,15,3,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,2,2,2,2,,,,,,,,,,1,,1,1,1,1
HH000027,HH000027-M03,03,Cabrera,Ella,,Fernandez,04,2,9,1,,,,1,1,2,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000028,HH000028-M01,01,Flores,Lance,,Castillo,01,1,38,2,2,,,1,1,1,1,2,1,7,1,2,,,,2,2,1,,3,8,4,33,1,2,1,3,22,,,,,2,
HH000028,HH000028-M02,02,Flores,Mae,,Soriano,02,2,39,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,8,3,24,1,1,1,4,20,,,,,2,
HH000028,HH000028-M03,03,Flores,Mark,,Santos,03,1,7,1,,,,1,1,1,1,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000028,HH000028-M04,04,Flores,Luis,,Navarro,03,1,4,1,,,,,,,,,,,,,1,00001000,,,,,,,,,,,,,,,,,,,,
HH000028,HH000028-M05,05,Flores,Juan,,Domingo,15,1,34,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,2,04,2,1,2,
HH000028,HH000028-M06,06,Flores,Nicole,,Navarro,16,2,48,4,2,,,1,1,2,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,1,,2,1,2,
HH000029,HH000029-M01,01,Domingo,Marco,,Reyes,01,1,26,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,2,8,4,33,2,2,1,4,23,,,,,2,
HH000029,HH000029-M02,02,Domingo,Catherine,,Flores,02,2,20,2,2,,,1,1,1,1,1,1,7,1,3,2,,06,2,2,2,2,,,,,,,,,,2,09,,,1,2
HH000029,HH000029-M03,03,Domingo,Bea,,Cruz,04,2,7,1,,,,1,1,1,1,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000029,HH000029-M04,04,Domingo,Christian,,Mendoza,03,1,5,1,,,,3,1,1,1,1,1,,1,0,1,00002000,,,,2,2,,,,,,,,,,,,,,,
HH000029,HH000029-M05,05,Domingo,Liza,,Torres,04,2,3,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000029,HH000029-M06,06,Domingo,Ella,,Reyes,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000029,HH000029-M07,07,Domingo,Nicole,,Cruz,23,2,66,4,2,,1,1,1,1,1,1,1,7,1,2,,,,2,2,2,1,1,8,0,0,2,2,1,7,30,,,,,1,1
HH000030,HH000030-M01,01,Navarro,Angelo,,Castillo,01,1,43,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,4,6,25,2,2,1,2,22,,,,,2,
HH000030,HH000030-M02,02,Navarro,Maria,,Reyes,02,2,37,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,2,2,,,,,,,,,,1,,1,2,2,
HH000030,HH000030-M03,03,Navarro,Leah,,Aquino,04,2,19,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,2,2,,,,,,,,,,1,,1,1,1,1
HH000030,HH000030-M04,04,Navarro,Grace,,Reyes,04,2,6,1,,,,1,1,1,1,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000031,HH000031-M01,01,Aguilar,Rommel,,Santos,01,1,82,6,2,,1,3,1,2,1,1,1,7,1,3,,,,1,2,2,3,,,,,,,,,,1,,1,2,2,
HH000032,HH000032-M01,01,Castro,Rafael,,Navarro,01,1,26,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,3,8,5,40,2,2,1,7,,,,,,2,
